"Case ID","Approved Date","Approver Name","Approver PSID","Assessment Status","Assessment Type","Assignee Team","Assignee Name","Assignee PSID","Booking Location","Creation Date","Modified Date","Case Status","Case Type","Client LEID","Client Name","Domicile Country","Group Name","ISIC Code","ISIC Description","Last Modified Staff Name","Last Modified PSID","Recommended Rating","RSRMA Rating","Submitter Name","Submitter PSID","Submitter Team","Version"
"1510","05/12/2022 09:54:45","","1521602","Completed","RSRMA","","","","SG","05/12/2022 08:44:07","05/12/2022 09:54:45","Approved","New","11004413","COFCO INTERNATIONAL SINGAPORE PTE. LTD.","SG","COFCO CORPORATION","6122","WHOLESALE TRADE IN TROPICAL PRODUCE","","1521602","Very Low","Very Low","","1521602","RSRMA Maker","02"
"1511","09/12/2022 05:08:37","Vikhar Ahmed, Ahmed","1631074","Completed","RSRMA","","","","SG","05/12/2022 08:56:39","09/12/2022 05:08:37","Approved","New","12677024","TATA INTERNATIONAL SINGAPORE PTE. LIMITED","SG","TATA GROUP INDIA","6199","WHOLESALE TRADE NEC,,,","Vikhar Ahmed, Ahmed","1631074","Very Low","Very Low","","1515454","RSRMA Maker","02"
"1512","07/12/2022 02:01:36","","1489121","Completed","RSRMA","","","","HK","05/12/2022 09:18:52","07/12/2022 02:01:36","Approved","New","13907119","FRUITFUL SEASON INVESTMENTS LIMITED","HK","WHEELOCK/WHARF GROUP","8414","REAL ESTATE DEVELOPMENT - RESIDENTIAL","","1489121","Very Low","Very Low","","1489121","RSRMA Maker","02"
"1513","29/06/2023 09:40:12","","1445304","Completed","RSRMA","","","","HK","05/12/2022 09:23:55","29/06/2023 09:40:12","Approved","New","11251455","COUNTRY GARDEN HOLDINGS COMPANY LIMITED","HK","COUNTRY GARDEN","8414","REAL ESTATE DEVELOPMENT - RESIDENTIAL","","1445304","","","","1489121","RSRMA Maker","02"
"1514","05/12/2022 10:40:36","","1410780","Completed","RSRMA","","","","GH","05/12/2022 10:13:37","05/12/2022 10:40:36","Approved","New","13400634","NEWMONT GHANA GOLD LIMITED","GH","NEWMONT CORPORATION","2401","GOLD & PRECIOUS METALS","","1410780","Low","Low","","1410780","RSRMA Maker","02"
"1515","03/02/2023 19:52:36","","1445304","Completed","RSRMA","","","","IN","05/12/2022 11:59:16","03/02/2023 19:52:36","Approved","New","13450666","CHENNAI RADHA ENGINEERING WORKS PRIVATE LIMITED","IN","RADHA ENGINEERING","3831","MFR&REPR OF ELEC IND MAC&APPARATUS EXC ELECT INSTR","","1445304","Low","Low","","1669541","RSRMA Maker","02"
"1516","05/12/2022 18:47:54","","1663652","Completed","RSRMA","","","","GB","05/12/2022 12:13:40","05/12/2022 18:47:54","Approved","New","11046873","COFCO RESOURCES SA","CH","COFCO CORPORATION","6122","WHOLESALE TRADE IN TROPICAL PRODUCE","","1663652","Low","Low","","1663652","RSRMA Maker","02"
"1517","05/12/2022 12:38:54","","1279451","Completed","RSRMA","","","","TW","05/12/2022 12:20:21","05/12/2022 12:38:54","Approved","New","11242785","MEDIATEK INC.","TW","MTK GROUP","3849","MFR OF ELECTRONIC PRODUCTS & COMPONENTS NEC","","1279451","Very Low","Very Low","","1279451","RSRMA Maker","02"
"1518","07/12/2022 07:15:21","","1595201","Completed","RSRMA","","","","HK","05/12/2022 12:37:40","07/12/2022 07:15:21","Approved","New","11236398","E FUND MANAGEMENT (HONG KONG) CO., LIMITED","HK","E FUND MANAGEMENT CO., LTD.","8191","FUND MGMT UNCLASSIFIABLE","","1595201","Very Low","Very Low","","1595201","RSRMA Maker","02"
"1519","10/02/2023 02:39:56"," Weiliang Glenn, Ho","1653753","Completed","RSRMA","","","","KE","05/12/2022 15:08:56","10/02/2023 02:39:56","Approved","New","11045142","SAFARICOM PLC","KE","VODAFONE GROUP","7223","Wireless telecommunications activities"," Weiliang Glenn, Ho","1653753","","","","1200259","RSRMA Maker","02"
"1520","05/12/2022 21:38:33","Ratnayake,Dmitri Eranga Mahen","1522598","Completed","RSRMA","","","","GB","05/12/2022 17:17:13","05/12/2022 21:38:33","Approved","New","13943630","St. Modwen Logistics Propco Ltd","IM","null","8419","REAL ESTATE DEVELOPMENT - NOT ELSEWHERE CLASSIFIED","Ratnayake,Dmitri Eranga Mahen","1522598","Low","Low","Ratnayake,Dmitri Eranga Mahen","1522598","RSRMA Maker","02"
"1521","06/12/2022 09:25:13","","1609038","Completed","RSRMA","","","","null","06/12/2022 03:27:08","06/12/2022 09:25:13","Approved","New","11018456","HUA NAN COMMERCIAL BANK, LTD.","CN","HUA NAN FINANCIAL HOLDINGS GROUP","8123","COMMERCIAL BANK","","1609038","Very Low","Very Low","","1609038","RSRMA Maker","02"
"1522","06/12/2022 03:46:19","","1663236","Completed","RSRMA","","","","BN","06/12/2022 03:35:29","06/12/2022 03:46:19","Approved","New","12568290","DCH AURIGA (BORNEO) SDN BHD","BN","CITIC GROUP","6140","GENERAL IMPORTERS & EXPORTERS,,,","","1663236","Very Low","Very Low","","1663236","RSRMA Maker","02"
"1523","06/12/2022 06:35:55","","1581852","Completed","RSRMA","","","","KR","06/12/2022 05:06:27","06/12/2022 06:35:55","Approved","New","13681798","GS ENERGY CORPORATION","KR","GS GROUP","3530","PETROLEUM REFINERIES","","1581852","Very Low","Very Low","","1581852","RSRMA Maker","02"
"1524","","","","In Progress","RSRMA","Maker","","","KR","06/12/2022 06:44:17","06/12/2022 06:45:58","Make in Progress","Adhoc Review","13681798","GS ENERGY CORPORATION","KR","GS GROUP","3530","PETROLEUM REFINERIES","","","","","","1581852","RSRMA Maker","02"
"1525","06/12/2022 07:05:34","","1533320","Completed","RSRMA","","","","KE","06/12/2022 07:01:17","06/12/2022 07:05:34","Approved","New","13748951","AMAZON DATA SERVICES KENYA LIMITED","KE","AMAZON.COM, INC.","8348","Other information technology and computer service activities,,,","","1533320","Very Low","Very Low","","1533320","RSRMA Maker","02"
"1527","","","","In Progress","RSRMA","Maker","Kim, JongKwon","1368683","null","06/12/2022 08:11:06","20/12/2022 02:33:13","Initiated","New","11501238","LOTTE ALUMINIUM CO LTD","KR","LOTTE GROUP","3721","ALUMINUM","Kim, JongKwon","1368683","","","","1649670","RSRMA Maker","02"
"1528","12/12/2022 00:44:40","","1523397","Completed","RSRMA","","","","PH","06/12/2022 08:23:41","12/12/2022 00:44:40","Approved","New","11162364","THALES SOLUTIONS PHILIPPINES INC.","PH","thales","6119","Wholesale of electronic and telecommunications equipment and parts","","1523397","Very Low","Very Low","","1523397","RSRMA Maker","02"
"1529","06/12/2022 08:46:04","","1382364","Completed","RSRMA","","","","AE","06/12/2022 08:24:08","06/12/2022 08:46:04","Approved","New","13495191","PAYFORT INTERNATIONAL FZ-LLC","AE","AMAZON.COM, INC.","8387","Activities of collection agencies and credit bureaus,,,","","1382364","Very Low","Very Low","","1382364","RSRMA Maker","02"
"1530","06/12/2022 09:08:26","","1582164","Completed","RSRMA","","","","SG","06/12/2022 09:03:27","06/12/2022 09:08:26","Approved","New","13661343","DXC TECHNOLOGY SERVICES SINGAPORE PTE. LTD.","SG","DXC TECHNOLOGY COMPANY","8348","Other information technology and computer service activities,,,","","1582164","Very Low","Very Low","","1582164","RSRMA Maker","02"
"1531","","","","In Progress","RSRMA","Maker","","","TH","06/12/2022 09:07:31","06/12/2022 09:13:54","Make in Progress","New","11092293","ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED","TH","Gulf Energy Group","7223","Wireless telecommunications activities","","","","","","1534656","RSRMA Maker","02"
"1532","06/12/2022 09:11:05","","1652837","Completed","RSRMA","","","","TH","06/12/2022 09:07:46","06/12/2022 09:11:05","Approved","New","13849783","LF LOGISTICS (THAILAND) LIMITED","TH","AP MOLLER MAERSK A/S","7150","STORAGE & WAREHOUSING","","1652837","Very Low","Very Low","","1652837","RSRMA Maker","02"
"1533","07/12/2022 08:41:21","","1638847","Completed","RSRMA","","","","TH","06/12/2022 09:10:54","07/12/2022 08:41:21","Approved","New","11090626","BANGCHAK CORPORATION PUBLIC COMPANY LIMITED","TH","The Bangchak Group","3530","PETROLEUM REFINERIES","","1638847","Very Low","Very Low","","1638847","RSRMA Maker","02"
"1534","06/12/2022 09:40:08","","1582164","Completed","RSRMA","","","","SG","06/12/2022 09:35:51","06/12/2022 09:40:08","Approved","Adhoc Review","13661343","DXC TECHNOLOGY SERVICES SINGAPORE PTE. LTD.","SG","DXC TECHNOLOGY COMPANY","8348","Other information technology and computer service activities,,,","","1582164","Very Low","Very Low","","1582164","RSRMA Maker","02"
"1535","11/12/2022 10:19:17","","1227508","Completed","RSRMA","","","","CN","06/12/2022 09:53:05","11/12/2022 10:19:17","Approved","New","13804063","SICHUAN LOGISTICS INDUSTRIAL CO., LTD.","CN","SICHUAN COMMERCIAL INVESTMENT GROUP CO. LTD.","6134","TIMBER PAINTS & CONSTRUCTION MATERIALS,,,","","1227508","Very Low","Very Low","","1227508","RSRMA Maker","02"
"1536","07/12/2022 15:12:41","","1657594","Completed","RSRMA","","","","VN","06/12/2022 15:34:41","07/12/2022 15:12:41","Approved","New","13562476","POSCO YAMATO VINA STEEL JOINT STOCK COMPANY","VN","POSCO HOLDINGS","3710","IRON & STEEL BASIS INDUSTRIES","","1657594","Very Low","Very Low","","1657594","RSRMA Maker","02"
"1537","06/12/2022 22:13:22","OConnell,Charles","1493195","Completed","RSRMA","","","","US","06/12/2022 22:05:00","06/12/2022 22:13:22","Approved","New","12770090","BROOKFIELD STRATEGIC REAL ESTATE PARTNERS A LP","US","BROOKFIELD ASSET MANAGEMENT","8182","INVESTMENT COMPANIES","OConnell,Charles","1493195","Very Low","Very Low","OConnell,Charles","1493195","RSRMA Maker","02"
"1538","07/12/2022 15:50:47","","1334091","Completed","RSRMA","","","","US","06/12/2022 22:39:21","07/12/2022 15:50:47","Approved","New","13930652","North Haven Tactical Value Fund II LP","US","null","8191","FUND MGMT UNCLASSIFIABLE","","1334091","Very Low","Very Low","","1334091","RSRMA Maker","02"
"1539","07/12/2022 15:07:09","","1392828","Completed","RSRMA","","","","US","06/12/2022 22:43:51","07/12/2022 15:07:09","Approved","New","13784466","TOYOTA MOTOR CREDIT CORPORATION","US","TOYOTA GROUP","8166","MOTOR FINANCE","","1392828","Very Low","Very Low","","1392828","RSRMA Maker","02"
"1540","07/12/2022 02:32:45","","1663236","Completed","RSRMA","","","","SG","07/12/2022 02:20:04","07/12/2022 02:32:45","Approved","New","11333314","XINSHA INTERNATIONAL PTE. LTD.","SG","SHAGANG GROUP","6123","Wholesale of metals and metal ores","","1663236","Very Low","Very Low","","1663236","RSRMA Maker","02"
"1541","07/12/2022 02:42:52","","1643021","Completed","RSRMA","","","","SG","07/12/2022 02:31:34","07/12/2022 02:42:52","Approved","New","11000327","NORDIC FLOW CONTROL PTE. LTD.","SG","NORDIC GROUP","5026","MARINE CONSTRUCTN(EG HARBOR, PIER, DOCK, WHARVES)","","1643021","Very Low","Very Low","","1643021","RSRMA Maker","02"
"1542","13/12/2022 07:47:06","","1662792","Completed","RSRMA","","","","CN","07/12/2022 02:34:46","13/12/2022 07:47:06","Approved","New","13914980","LINYANG INTERNATIONAL CO., LTD","CN","JIANGSU LINYANG ENERGY CO., LTD...","6199","WHOLESALE TRADE NEC,,,","","1662792","Low","Low","","1662792","RSRMA Maker","02"
"1543","07/12/2022 02:48:32","","1643021","Completed","RSRMA","","","","SG","07/12/2022 02:45:16","07/12/2022 02:48:32","Approved","Adhoc Review","11000327","NORDIC FLOW CONTROL PTE. LTD.","SG","NORDIC GROUP","5026","MARINE CONSTRUCTN(EG HARBOR, PIER, DOCK, WHARVES)","","1643021","Very Low","Very Low","","1643021","RSRMA Maker","02"
"1544","07/12/2022 08:36:11","","1643021","Completed","RSRMA","","","","SG","07/12/2022 02:49:01","07/12/2022 08:36:11","Approved","New","11412839","NORDIC GROUP LIMITED","SG","NORDIC GROUP","5029","OTHER NON-BUILDING CONSTRUCTION NEC","","1643021","Very Low","Very Low","","1643021","RSRMA Maker","02"
"1545","07/12/2022 03:30:23","","1639231","Completed","RSRMA","","","","TH","07/12/2022 03:24:49","07/12/2022 03:30:23","Approved","New","13615348","CARDINAL HEALTH 222 (THAILAND) LTD.","TH","CARDINAL HEALTH INC.","3863","MFR OF SURGICAL & MEDICAL INSTRUMENTS & SUPPLIES,,,","","1639231","Very Low","Very Low","","1639231","RSRMA Maker","02"
"1546","07/12/2022 03:53:34","","1200259","Completed","RSRMA","","","","KE","07/12/2022 03:47:18","07/12/2022 03:53:34","Approved","New","13597620","THE M-PESA ACADEMY","KE","VODAFONE GROUP","9319","EDUCATION SERVICES NOT ELSEWHERE CLASSIFIED,,,","","1200259","Very Low","Very Low","","1200259","RSRMA Maker","02"
"1547","07/12/2022 04:32:53","Jain, Hemant","1245270","Completed","RSRMA","","","","IN","07/12/2022 04:16:34","07/12/2022 04:32:53","Approved","New","11062199","KUEHNE + NAGEL PRIVATE LIMITED","IN","KUEHNE + NAGEL GROUP","7143","SERVICES ALLIED TO TRANSPORT OF GOODS","Jain, Hemant","1245270","Low","Low","Jain, Hemant","1245270","RSRMA Maker","02"
"1548","07/12/2022 04:25:19","","1370459","Completed","RSRMA","","","","KR","07/12/2022 04:20:46","07/12/2022 04:25:19","Approved","New","13630611","KOLON GLOTECH INC","KR","KOLON","3219","MFR OF TEXTILES NEC","","1370459","Very Low","Very Low","","1370459","RSRMA Maker","02"
"1549","09/01/2023 10:40:10","","1664854","Completed","RSRMA","","","","TW","07/12/2022 04:44:15","09/01/2023 10:40:10","Approved","New","11040541","EVA AIRWAYS CORPORATION","TW","EVERGREEN GROUP","7131","Passenger air transport","","1664854","Very Low","Very Low","","1664854","RSRMA Maker","02"
"1550","07/12/2022 05:25:25","","1353605","Completed","RSRMA","","","","IN","07/12/2022 05:15:33","07/12/2022 05:25:25","Approved","New","13627933","RELIANCE RETAIL LIMITED","IN","MUKESH AMBANI GROUP","6253","Other retail sale in non-specialized stores","","1353605","Low","Low","","1353605","RSRMA Maker","02"
"1551","08/12/2022 14:35:11","","1608014","Completed","RSRMA","","","","IN","07/12/2022 06:21:30","08/12/2022 14:35:11","Approved","New","11064651","UL INDIA PRIVATE LIMITED","IN","UNDERWRITER LABORATORIES","8351","Technical testing and analysis","","1608014","Very Low","Very Low","","1608014","RSRMA Maker","02"
"1552","12/12/2022 06:26:56","","1619771","Completed","RSRMA","","","","IN","07/12/2022 06:22:13","12/12/2022 06:26:56","Approved","New","13719306","SUNGWOO HITECH AP PRIVATE LIMITED","IN","SUNG WOO HITECH CO LTD","3856","Manufacture of parts and accessories for motor vehicles","","1619771","Very Low","Very Low","","1619771","RSRMA Maker","02"
"1553","05/01/2023 03:28:03","","1590321","Completed","RSRMA","","","","MY","07/12/2022 06:59:49","05/01/2023 03:28:03","Approved","New","11075781","IJM CORPORATION BERHAD","MY","IJM CORPORATION BHD","5019","OTH BUILDG CONTRACTG WORK-NOT ELSEWHERE CLASSIFIED","","1590321","Low","Low","","1590321","RSRMA Maker","02"
"1554","07/12/2022 07:04:48","","1613974","Completed","RSRMA","","","","SG","07/12/2022 07:00:05","07/12/2022 07:04:48","Approved","New","11240956","MIDEA ELECTRIC TRADING (SINGAPORE) CO. PTE. LTD.","SG","MIDEA GROUP CO LTD","6115","WSALE TR IN FURNITURE,HM FURNISHG&OTH HSEHOLD EQUIP","","1613974","Very Low","Very Low","","1613974","RSRMA Maker","02"
"1555","07/12/2022 07:16:33","","1519398","Completed","RSRMA","","","","US","07/12/2022 07:11:43","07/12/2022 07:16:33","Approved","New","13942554","SPT SK Holdings, LLC","US","STARWOOD CAPITAL GROUP GLOBAL LLC","8191","FUND MGMT UNCLASSIFIABLE","","1519398","Very Low","Very Low","","1519398","RSRMA Maker","02"
"1556","07/12/2022 07:19:55","","1657676","Completed","RSRMA","","","","HK","07/12/2022 07:17:57","07/12/2022 07:19:55","Approved","New","11314199","CHINA PING AN INSURANCE OVERSEAS (HOLDINGS) LIMITED","HK","PING AN INSURANCE (GROUP) COMPANY OF CHINA LTD","8180","HOLDING & OTHER INVESTMENT COMPANIES,,,","","1657676","Very Low","Very Low","","1657676","RSRMA Maker","02"
"1557","16/03/2023 13:33:52","","1613974","Completed","RSRMA","","","","SG","07/12/2022 07:18:29","16/03/2023 13:33:52","Approved","Adhoc Review","11240956","MIDEA ELECTRIC TRADING (SINGAPORE) CO. PTE. LTD.","SG","MIDEA GROUP CO LTD","6115","WSALE TR IN FURNITURE,HM FURNISHG&OTH HSEHOLD EQUIP","","1613974","Very Low","Very Low","","1613974","RSRMA Maker","02"
"1558","07/12/2022 07:23:49","","1657676","Completed","RSRMA","","","","HK","07/12/2022 07:22:03","07/12/2022 07:23:49","Approved","New","13842868","Fupeng Investment Management Limited","HK","PING AN INSURANCE (GROUP) COMPANY OF CHINA LTD","8182","INVESTMENT COMPANIES","","1657676","Very Low","Very Low","","1657676","RSRMA Maker","02"
"1559","07/12/2022 07:26:37","","1657676","Completed","RSRMA","","","","HK","07/12/2022 07:25:01","07/12/2022 07:26:37","Approved","New","13803914","An Ke Treasury Overseas Limited","HK","PING AN INSURANCE (GROUP) COMPANY OF CHINA LTD","8150","FINANCE COMPANIES","","1657676","Very Low","Very Low","","1657676","RSRMA Maker","02"
"1560","07/12/2022 07:30:53","","1657676","Completed","RSRMA","","","","HK","07/12/2022 07:28:29","07/12/2022 07:30:53","Approved","New","13560791","PINGAN REAL ESTATE CAPITAL LIMITED","HK","PING AN INSURANCE (GROUP) COMPANY OF CHINA LTD","8432","REAL ESTATE INVESTMENT - COMMERCIAL","","1657676","Very Low","Very Low","","1657676","RSRMA Maker","02"
"1561","07/12/2022 07:35:31","","1534656","Completed","RSRMA","","","","TH","07/12/2022 07:33:54","07/12/2022 07:35:31","Approved","New","11090377","THAICOM PUBLIC COMPANY LIMITED","TH","Gulf Energy Group","7224","Satellite telecommunications activities,,,","","1534656","Very Low","Very Low","","1534656","RSRMA Maker","02"
"1562","07/12/2022 08:07:59","","1657676","Completed","RSRMA","","","","HK","07/12/2022 08:03:54","07/12/2022 08:07:59","Approved","New","13569731","TRUE PARTNER INVESTMENTS LIMITED","HK","Pacific Alliance Group Limited","8432","REAL ESTATE INVESTMENT - COMMERCIAL","","1657676","Very Low","Very Low","","1657676","RSRMA Maker","02"
"1563","07/12/2022 08:09:54","","1657676","Completed","RSRMA","","","","HK","07/12/2022 08:08:19","07/12/2022 08:09:54","Approved","New","13746306","Harmony Lotus Limited","HK","GAW CAPITAL","8432","REAL ESTATE INVESTMENT - COMMERCIAL","","1657676","Very Low","Very Low","","1657676","RSRMA Maker","02"
"1564","07/12/2022 08:15:33","","1657676","Completed","RSRMA","","","","HK","07/12/2022 08:13:57","07/12/2022 08:15:33","Approved","New","13710296","Best Regain Limited","HK","GAW CAPITAL","8435","REAL ESTATE INVESTMENT - RETAIL,,,","","1657676","Very Low","Very Low","","1657676","RSRMA Maker","02"
"1565","09/12/2022 11:00:14","","1662790","Completed","RSRMA","","","","CN","07/12/2022 08:14:37","09/12/2022 11:00:14","Approved","New","13944106","Parisi Grand Smooth Logistics Ltd","CN","null","7134","Cargo handling","","1662790","Very Low","Very Low","","1662790","RSRMA Maker","02"
"1566","07/12/2022 08:56:20","HUANG, Annie","1578475","Completed","RSRMA","","","","TW","07/12/2022 08:19:41","07/12/2022 08:56:20","Approved","New","13713965","KAI YU INVESTMENT CO., LTD.","TW","UNI-PRESIDENT ENTERPRISES GROUP","8182","INVESTMENT COMPANIES","HUANG, Annie","1578475","Very Low","Very Low","HUANG, Annie","1578475","RSRMA Maker","02"
"1567","07/12/2022 09:07:26","","1600167","Completed","RSRMA","","","","SG","07/12/2022 08:53:16","07/12/2022 09:07:26","Approved","New","13555422","AMPLUS ENERGY SOLUTIONS PTE. LTD.","SG","PETRONAS GROUP","8180","HOLDING & OTHER INVESTMENT COMPANIES,,,","","1600167","Very Low","Very Low","","1600167","RSRMA Maker","02"
"1568","29/03/2023 01:30:27","","1662435","Completed","RSRMA","","","","HK","07/12/2022 09:05:02","29/03/2023 01:30:27","Approved","New","11018065","SWIRE PACIFIC LIMITED","HK","SWIRE GROUP","8181","TRULY DIVERSIFIED CONGLOMERATES","","1662435","Very Low","Very Low","","1469139","RSRMA Maker","02"
"1569","07/12/2022 09:21:30","","1611549","Completed","RSRMA","","","","SG","07/12/2022 09:06:07","07/12/2022 09:21:30","Approved","New","13907116","WINNING PROGRESS SHIPPING PTE. LTD.","SG","WINNING INTERNATIONAL GROUP","7121","Sea and coastal freight water transport","","1611549","Very Low","Very Low","","1611549","RSRMA Maker","02"
"1570","20/07/2023 08:12:57","","1365152","Completed","RSRMA","","","","SG","07/12/2022 09:09:27","20/07/2023 08:12:57","Approved","New","11002652","JOS (SG) PTE. LTD.","SG","STT COMMUNICATIONS GROUP","8342","I T PROFESSIONAL SERVICES,,,","","1365152","Very Low","Very Low","","1365152","RSRMA Maker","02"
"1571","07/12/2022 09:15:35","","1600167","Completed","RSRMA","","","","SG","07/12/2022 09:12:13","07/12/2022 09:15:35","Approved","Adhoc Review","13555422","AMPLUS ENERGY SOLUTIONS PTE. LTD.","SG","PETRONAS GROUP","8180","HOLDING & OTHER INVESTMENT COMPANIES,,,","","1600167","Very Low","Very Low","","1600167","RSRMA Maker","02"
"1572","07/12/2022 09:51:25","","1600167","Completed","RSRMA","","","","MY","07/12/2022 09:18:44","07/12/2022 09:51:25","Approved","New","13711896","SUNWAY TREASURY SUKUK SDN BHD","MY","SUNWAY / TAN SRI JEFFREY CHEAH GROUP","8414","REAL ESTATE DEVELOPMENT - RESIDENTIAL","","1600167","Very Low","Very Low","","1600167","RSRMA Maker","02"
"1574","","","","In Progress","RSRMA","Maker","Assign to Group","1565364","IN","07/12/2022 11:00:38","21/12/2022 06:16:29","Initiated","New","13711706","KOCH BUSINESS SOLUTIONS INDIA PRIVATE LIMITED","IN","KOCH SOLUTIONS, LLC","8341","INFORMATION PROCESSING SERVICES","","1565364","","","","1565364","RSRMA Maker","02"
"1575","","","","In Progress","RSRMA","Maker","Assign to Group","1565364","IN","07/12/2022 11:02:31","21/12/2022 06:16:25","Initiated","New","13872186","HERBALIFE INTERNATIONAL INDIA PRIVATE LIMITED","IN","HERBALIFE GROUP","3121","MFR OF FOOD PRODUCTS NEC","","1565364","","","","1565364","RSRMA Maker","02"
"1576","07/12/2022 11:09:29","","1565364","Completed","RSRMA","","","","IN","07/12/2022 11:03:32","07/12/2022 11:09:29","Approved","New","11064955","SMEC (INDIA) PRIVATE LIMITED","IN","SURBANA JURONG GROUP","8350","ENGINEERING ARCHITECTURAL & TECHNICAL SERVICES","","1565364","Very Low","Very Low","","1565364","RSRMA Maker","02"
"1577","07/12/2022 11:23:46","","1200259","Completed","RSRMA","","","","KE","07/12/2022 11:19:20","07/12/2022 11:23:46","Approved","New","11229534","M-PESA HOLDING CO. LIMITED","KE","VODAFONE GROUP","7225","Other telecommunications activities,,,","","1200259","Very Low","Very Low","","1200259","RSRMA Maker","02"
"1578","","","","Completed","RSRMA","GRRRC Team","Assign to Group","1549783","KE","07/12/2022 11:59:03","22/07/2024 11:08:02","Withdrawn","New","13935533","JIANGXI TRANSPORTATION ENGINEERING GROUP LIMITED.","KE","null","5021","ROADS STREETS CONSTRUCTION","","1549783","N/A","Very Low","","1549783","RSRMA Maker","02"
"1579","07/12/2022 12:39:41","","1355596","Completed","RSRMA","","","","MY","07/12/2022 12:30:38","07/12/2022 12:39:41","Approved","New","11075257","GAMUDA BERHAD","MY","GAMUDA","5021","ROADS STREETS CONSTRUCTION","","1355596","Very Low","Very Low","","1355596","RSRMA Maker","02"
"1580","07/12/2022 12:46:31","","1355596","Completed","RSRMA","","","","MY","07/12/2022 12:44:11","07/12/2022 12:46:31","Approved","Adhoc Review","11075257","GAMUDA BERHAD","MY","GAMUDA","5021","ROADS STREETS CONSTRUCTION","","1355596","Very Low","Very Low","","1355596","RSRMA Maker","02"
