"Case ID","Entity ID","Client Name","CRQ Version","Section Code","Question Number","Question Text","Answer","Score","CTP Score","Case Approved Date"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","DND3","1.2","Does the company respond to the Climate Change CDP (formerly known as Carbon disclosure project) for the last two financial years? If yes, how does CDP rate the quality of disclosure?","No CDP report submitted","","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","DND3","1.3","Is this CRA being conducted for a project?","No","","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","DND3","1.4","BIODIVERSITY: Aside from climate-related matters, has the company made a public commitment and/or endorsed any initiatives related to biodiversity?","No","","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","DND3","1.5","BIODIVERSITY: Has the company evaluated impacts and/or dependencies of its operating model on nature and biodiversity?","No","","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","GPR3","2.1.1","Please indicate if the operating locations listed are representative of the company's footprint. ","Yes","","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","GPR3","2.12","If provided geolocations are blank or not representative of entities' operating footprint, is the company's operating businesss asset-intensive or clearly susceptible to physical risk events.","Yes - Entity does not have direct assets affected, but supply chain is at risk of Physical events ","0","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","GPR3","2.13","If provided geolocations are blank or not representative of entities' operating footprint, what is the Physical Risk ranking for the country of domicile as derived from the SCB Sovereign Heat Map or through detailed  weighted average calculation for assets or countries of operation?","Global Average","34.99","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","GPR3","2.14","Does the company PD default by 2030 in a 4 degree ""Hot House"" scenario? If not, what is the company's max change in probability of default score by 2030 in a 4 degree ""Hot House"" scenario?","0.000017521210801829","24.78","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","GTR3","4.1","Does the entity operate in a high carbon emitting sector, as covered by SCB`s Net Zero priority sectors?","No, the Client's sector is not covered by NZ commitments","","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","GTR3","4.1.1","Based on latest available data, how reliant is the company`s current production/revenue mix high-carbon products (Coal, Oil, Fossil Fuels)?","Medium <=40%","12.5","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","GTR3","4.2","What sovereign policy measures, regional or international regulations (that may have material impact on company’s financials or business model) are planned or currently in place for the industry & region in which the company operates?","No additional policy measures expected in next 10 years","25","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","GTR3","4.3","Based on most recent emissions intensity and projecting to 2030, please see below for SCB's assessment of the company's 'temperature alignment' score. Please feel free to comment. ","<=4 High","2.5","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","GTR3","4.5","Does the company PD default by 2030 in a 2 degree orderly scenario? If not, what is the company's max change in probability of default score by 2030 in a 2 degree orderly scenario?","0.000261704848449673","15.63","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","GTR3","4.6","Does the company PD default by 2050 in a 2 degree orderly scenario? If not, what is the company's max change in probability of default score by 2050 in a 2 degree orderly scenario?","0.000279071385056643","3.9","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","GTR3","4.7","Does the company PD default by 2050 in a 2 degree disorderly scenario? If not, what is the company's max change in probability of default score by 2050 in a 2 degree disorderly scenario?","0.000209547369430174","3.93","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","PRA3","3.1","Does the company identify 'physical risk' as an emerging or existing risk to one or more of its business operations (either direct business operations only or wider value/supply chain as well)?","No - The company does not acknowledge physical risks in relevant publicly available reports","0","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","PRA3","3.2","Has the company taken any measures to date or made future plans to reduce, manage or adapt to current and/or future physical risks relevant to the business (and value/supply chain)?","No - the company has not taken any measures to reduce, manage or adapt to physical risks","0","","04/27/2025"
"23841","11120875","AL BWARDY INVESTMENT LLC","CRQ v3","PRA3","3.3","Does the company have insurance coverage (for damage cost and revenue disruption) to protect against all relevant physical risks?","No Coverage","0","","04/27/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","CTP3","5.1","Does the company identify 'transition risk' as an emerging or existing risk to one or more of its business operations (either direct business operations only or wider value/supply chain as well)?","No information available to base assessment on","0","0","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","CTP3","5.2","Are there management and/or executive incentives in place, that relate to any climate change action?","No information available to base assessment on","0","0","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","CTP3","5.3","Has the company nominated a board member or board committee with explicit responsibility for oversight of climate change risk affecting the business activities? ","No","0","0","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","CTP3","5.4","Does the company report its Scope 1,  2 and 3 greenhouse gas (GHG) emissions (if available, else carbon dioxide (CO2) emissions)?","No - Company does not report any GHG emissions","0","0","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","CTP3","5.5","Has the company set quantitative targets for reducing its Scope 1, 2 or 3 greenhouse gas (GHG) emissions (if available, else carbon dioxide (CO2) emissions) or any other quantifiable or long-term commitment(s) (Net-Zero) to action on climate change?","No Targets set||No Targets set","0","0","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","CTP3","5.6","Has the company set out a roadmap to change parts or all of its core business model / operations, to lower carbon options in order to reduce the emissions (or emissions intensity) of the entity?","No information available to base assessment on","0","0","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","CTP3","5.7","Has the company evaluated their transition strategy using climate change scenario modelling?","No information available to base assessment on","0","0","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","CTP3","5.8","Does the company use Internal Carbon Pricing for Strategic Planning and Analysis?","No information available to base assessment on","0","0","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","DND3","1.1","Does the company publish Climate Risk related disclosures (within Annual Reports, Sustainability / CSR Reports, ESG Reports, TCFD Report, Website), and are those disclosures TCFD-aligned?","No - Publishes a report(s) without climate risk related disclosure","","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","DND3","1.2","Does the company respond to the Climate Change CDP (formerly known as Carbon disclosure project) for the last two financial years? If yes, how does CDP rate the quality of disclosure?","No CDP report submitted","","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","DND3","1.3","Is this CRA being conducted for a project?","No","","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","DND3","1.4","BIODIVERSITY: Aside from climate-related matters, has the company made a public commitment and/or endorsed any initiatives related to biodiversity?","No","","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","DND3","1.5","BIODIVERSITY: Has the company evaluated impacts and/or dependencies of its operating model on nature and biodiversity?","No","","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","GPR3","2.1.1","Please indicate if the operating locations listed are representative of the company's footprint. ","No information available to base assessment on","","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","GPR3","2.12","If provided geolocations are blank or not representative of entities' operating footprint, is the company's operating businesss asset-intensive or clearly susceptible to physical risk events.","No information available to base assessment on","0","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","GPR3","2.13","If provided geolocations are blank or not representative of entities' operating footprint, what is the Physical Risk ranking for the country of domicile as derived from the SCB Sovereign Heat Map or through detailed  weighted average calculation for assets or countries of operation?","Global Average","34.99","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","GPR3","2.14","Does the company PD default by 2030 in a 4 degree ""Hot House"" scenario? If not, what is the company's max change in probability of default score by 2030 in a 4 degree ""Hot House"" scenario?","0.0004302163","23.12","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","GTR3","4.1","Does the entity operate in a high carbon emitting sector, as covered by SCB`s Net Zero priority sectors?","No, the Client's sector is not covered by NZ commitments","","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","GTR3","4.1.1","Based on latest available data, how reliant is the company`s current production/revenue mix high-carbon products (Coal, Oil, Fossil Fuels)?","Medium <=40%","12.5","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","GTR3","4.2","What sovereign policy measures, regional or international regulations (that may have material impact on company’s financials or business model) are planned or currently in place for the industry & region in which the company operates?","No information available to base assessment on","0","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","GTR3","4.4","Based on most recent emissions intensity and projecting to 2030, please see below for SCB's assessment of the company's 'temperature alignment' score. Please feel free to comment.","Very High","0","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","GTR3","4.5","Does the company PD default by 2030 in a 2 degree orderly scenario? If not, what is the company's max change in probability of default score by 2030 in a 2 degree orderly scenario?","0.0010052801","14.99","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","GTR3","4.6","Does the company PD default by 2050 in a 2 degree orderly scenario? If not, what is the company's max change in probability of default score by 2050 in a 2 degree orderly scenario?","0.0245662972","3.08","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","GTR3","4.7","Does the company PD default by 2050 in a 2 degree disorderly scenario? If not, what is the company's max change in probability of default score by 2050 in a 2 degree disorderly scenario?","0.0224755156","3.11","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","PRA3","3.1","Does the company identify 'physical risk' as an emerging or existing risk to one or more of its business operations (either direct business operations only or wider value/supply chain as well)?","No - The company does not acknowledge physical risks in relevant publicly available reports","0","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","PRA3","3.2","Has the company taken any measures to date or made future plans to reduce, manage or adapt to current and/or future physical risks relevant to the business (and value/supply chain)?","No - the company has not taken any measures to reduce, manage or adapt to physical risks","0","","04/08/2025"
"27478","13783250","VLATTK TOLLKTLPLB OOPNTLB KPKPLBR","CRQ v3","PRA3","3.3","Does the company have insurance coverage (for damage cost and revenue disruption) to protect against all relevant physical risks?","No Coverage","0","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","CTP3","5.1","Does the company identify 'transition risk' as an emerging or existing risk to one or more of its business operations (either direct business operations only or wider value/supply chain as well)?","No information available to base assessment on","0","0","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","CTP3","5.2","Are there management and/or executive incentives in place, that relate to any climate change action?","No information available to base assessment on","0","0","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","CTP3","5.3","Has the company nominated a board member or board committee with explicit responsibility for oversight of climate change risk affecting the business activities? ","No information available to base assessment on","0","0","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","CTP3","5.4","Does the company report its Scope 1,  2 and 3 greenhouse gas (GHG) emissions (if available, else carbon dioxide (CO2) emissions)?","No information available to base assessment on","0","0","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","CTP3","5.5","Has the company set quantitative targets for reducing its Scope 1, 2 or 3 greenhouse gas (GHG) emissions (if available, else carbon dioxide (CO2) emissions) or any other quantifiable or long-term commitment(s) (Net-Zero) to action on climate change?","No information available to base assessment on||No information available to base assessment on","0","0","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","CTP3","5.6","Has the company set out a roadmap to change parts or all of its core business model / operations, to lower carbon options in order to reduce the emissions (or emissions intensity) of the entity?","No information available to base assessment on","0","0","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","CTP3","5.7","Has the company evaluated their transition strategy using climate change scenario modelling?","No information available to base assessment on","0","0","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","CTP3","5.8","Does the company use Internal Carbon Pricing for Strategic Planning and Analysis?","No information available to base assessment on","0","0","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","DND3","1.1","Does the company publish Climate Risk related disclosures (within Annual Reports, Sustainability / CSR Reports, ESG Reports, TCFD Report, Website), and are those disclosures TCFD-aligned?","No - No available disclosure sources","","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","DND3","1.2","Does the company respond to the Climate Change CDP (formerly known as Carbon disclosure project) for the last two financial years? If yes, how does CDP rate the quality of disclosure?","First report submitted - Not scored yet","","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","DND3","1.3","Is this CRA being conducted for a project?","No","","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","DND3","1.4","BIODIVERSITY: Aside from climate-related matters, has the company made a public commitment and/or endorsed any initiatives related to biodiversity?","Yes - Public commitments and publicly endorsed initiatives related to biodiversity and/or nature","","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","DND3","1.5","BIODIVERSITY: Has the company evaluated impacts and/or dependencies of its operating model on nature and biodiversity?","Yes - Both impacts and dependencies have been evaluated","","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","GPR3","2.12","If provided geolocations are blank or not representative of entities' operating footprint, is the company's operating businesss asset-intensive or clearly susceptible to physical risk events.","No - Entity operations are not susceptible to Physical Risk","70","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","GPR3","2.14","Does the company PD default by 2030 in a 4 degree ""Hot House"" scenario? If not, what is the company's max change in probability of default score by 2030 in a 4 degree ""Hot House"" scenario?","0.0137601154","19.51","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","GTR3","4.1","Does the entity operate in a high carbon emitting sector, as covered by SCB`s Net Zero priority sectors?","No, the Client's sector is not covered by NZ commitments","","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","GTR3","4.1.1","Based on latest available data, how reliant is the company`s current production/revenue mix high-carbon products (Coal, Oil, Fossil Fuels)?","Very High >70%","0","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","GTR3","4.2","What sovereign policy measures, regional or international regulations (that may have material impact on company’s financials or business model) are planned or currently in place for the industry & region in which the company operates?","No information available to base assessment on","0","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","GTR3","4.4","Based on most recent emissions intensity and projecting to 2030, please see below for SCB's assessment of the company's 'temperature alignment' score. Please feel free to comment.","Very High","0","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","GTR3","4.5","Does the company PD default by 2030 in a 2 degree orderly scenario? If not, what is the company's max change in probability of default score by 2030 in a 2 degree orderly scenario?","0.000320243","15.55","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","GTR3","4.6","Does the company PD default by 2050 in a 2 degree orderly scenario? If not, what is the company's max change in probability of default score by 2050 in a 2 degree orderly scenario?","0.010836485","3.31","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","GTR3","4.7","Does the company PD default by 2050 in a 2 degree disorderly scenario? If not, what is the company's max change in probability of default score by 2050 in a 2 degree disorderly scenario?","0.0102150009","3.32","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","PRA3","3.1","Does the company identify 'physical risk' as an emerging or existing risk to one or more of its business operations (either direct business operations only or wider value/supply chain as well)?","No information available to base assessment on","0","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","PRA3","3.2","Has the company taken any measures to date or made future plans to reduce, manage or adapt to current and/or future physical risks relevant to the business (and value/supply chain)?","No information available to base assessment on","0","","04/08/2025"
"27625","11128734","XTV HGLGNVBV LNTNICG","CRQ v3","PRA3","3.3","Does the company have insurance coverage (for damage cost and revenue disruption) to protect against all relevant physical risks?","No information available to base assessment on","0","","04/08/2025"
