"Case ID","Entity ID","Entity Name","Sector Name","ISIC Code","ISIC Description","Group ID","Client Group Name","Country of Domicile","Case Status","Ageing","Cancellation Reason","CRA Status","Created On","Modified On","Entity Classification","Review Type","Review Subtype","Maker PSID","Maker Name","Climate Risk Grading Status","Physical Risk BRAG","Transition Risk BRAG","Advisor PSID","Advisor Name","Date of submission to Climate Risk Advisor","Date of Rejection by Climate Risk Advisor","Approver Approved On","Approver Name","Approver PSID","Approver Rejected On","Assessment Type","Date of submission to RM","RM Rejected On","RM Recommended On","RM PSID","RM Name","RM Approved On","Primary Booking Location Country","Questionnaire Version","Case Assessment Review Reason","Current Aassignee Name","Current Assignee PSID","Checker Name","Checker PSID","CA Name","CA PSID","Case Initiator Name","Case Initiator Role","Case Initiator PSID","Date of submission to Checker","Date of Rejection by Checker","Total no. of days at initiation before acceptance by Maker","Total no. of days with Maker Team","Total no. of days with Checker Team","Total no. of days with Climate Risk Advisor Team","Total no. of days with RM","Total no. of days with Climate Risk Approver","Total Turnaround Time (TAT) for Case","Total no. of rejections by Checker","Total no. of rejections by Climate Risk Advisor","Total no. of rejections by RM","Total no. of rejections by Climate Risk Approver"
"10011","11019156","EARLY LIGHT INDUSTRIAL COMPANY LIMITED","Consumer Durables & Apparel","","","990002291","EARLY LIGHT","HONG KONG","Approved","","","Completed","31/10/2021 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10012","11027564","HONG KONG BROADBAND NETWORK LIMITED","Telecommunication Services","","","990134731","HONG KONG BROADBAND","HONG KONG","Approved","","","Completed","31/05/2022 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10013","13382693","LNAME13382693","Metal & Mining Producers","","","990031833","GRP NAME 990031833","PERU","Approved","","","Completed","31/10/2021 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","TW","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10014","13696131","LNAME13696131","Financial and Holding Companies","","","990046010","GRP NAME 990046010","CHINA","Approved","","","Completed","30/09/2021 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","CN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10015","11273108","LNAME11273108","Trading Companies & Distributors","","","990000344","GRP NAME 990000344","SINGAPORE","Approved","","","Completed","31/01/2022 08:00:00","03/07/2022 19:50:00","","","","","","Amber","","","","","","","","","","","New","","","","","","","SG","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10016","11119962","LNAME11119962","Building Products, Construction & Engineering","","","990050154","GRP NAME 990050154","CHINA","Approved","","","Completed","30/06/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","CN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10017","13830334","Contemporary Amperex Technology Thuringia GmbH","Technology Hardware & Equipment","","","990324475","CATL GROUP","CHINA","Approved","","","Completed","30/06/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","CN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10018","11185464","LEI SHING HONG MACHINERY LIMITED","Trading Companies & Distributors","","","990001880","TAN SRI CK LAU","HONG KONG","Approved","","","Completed","15/02/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10019","13697023","LNAME13697023","Metal & Mining Producers","","","990003087","GRP NAME 990003087","PAPUA NEW GUINEA","Approved","","","Completed","30/09/2021 08:00:00","03/07/2022 19:50:00","","","","","","Amber","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10020","11205869","BRIGHT FUTURE PHARMACEUTICAL LABORATORIES LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","","","990337348","BRIGHT FUTURE","HONG KONG","Approved","","","Completed","15/04/2022 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10021","13751120","LNAME13751120","Commodity Traders","","","990339719","GRP NAME 990339719","CHINA","Approved","","","Completed","31/12/2021 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","CN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10022","11267744","LNAME11267744","Metal & Mining Producers","","","990061099","GRP NAME 990061099","CHINA","Approved","","","Completed","30/04/2022 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","CN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10023","11330863","DIMERCO EXPRESS CORPORATION","Transportation and Storage","","","990069779","DIMERCO EXPRESS (TAIWAN) CORPORATION","TAIWAN","Approved","","","Completed","30/10/2021 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","TW","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10024","13714290","Bncinw Giwm Bnwii Tninkri","Other Materials","","","990331128","AK YJSOUN","INDIA","Approved","","","Completed","31/05/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","IN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10025","13804809","ARCONIC CORPORATION","Other Materials","","","990346053","ARCONIC CORPORATION GROUP","UNITED STATES OF AMERICA","Approved","","","Completed","30/11/2021 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","US","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10026","13758121","LEADRAM TECHNOLOGY GROUP LIMITED","Technology Hardware & Equipment","","","990343007","LEADRAM TECHNOLOGY GROUP LIMITED 12 2340561","HONG KONG","Approved","","","Completed","31/03/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10027","13741201","International Trading Fashion & Apparel Supply Limited","Consumer Durables & Apparel","","","990340632","KIABI","FRANCE","Approved","","","Completed","30/09/2021 08:00:00","03/07/2022 19:50:00","","","","","","Amber","","","","","","","","","","","New","","","","","","","FR","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10028","13736486","ENVISION ENERGY CO., LTD","Other Capital Goods","","","990338085","ENVISION ENERGY CHINA","CHINA","Approved","","","Completed","30/09/2021 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","CN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10029","13831133","Victory Giant Technology (HuiZhou) Co., Ltd.","Technology Hardware & Equipment","","","990351920","VICTORY GIANT TECHNOLOGY (HUIZHOU) CO.LTD.","CHINA","Approved","","","Completed","31/05/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","CN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10030","11241175","EPIC GARMENTS MANUFACTURING CO LTD","Consumer Durables & Apparel","","","990063646","EPIC","HONG KONG","Approved","","","Completed","31/12/2021 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10031","13169131","IVL DHUNSERI POLYESTER COMPANY S.A.E","Other Materials","","","990249130","INDO WORTH GROUP","THAILAND","Approved","","","Completed","28/02/2022 08:00:00","03/07/2022 19:50:00","","","","","","Amber","","","","","","","","","","","New","","","","","","","TH","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10032","13474460","FUTURE PIPE INDUSTRIES GROUP LIMITED","Other Materials","","","990019927","FUTURE PIPE GROUP","UNITED ARAB EMIRATES","Approved","","","Completed","31/05/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","AE","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10033","12651907","UNITED DISTRIBUTORS (NEPAL) PRIVATE LIMITED","Trading Companies & Distributors","","","990026765","VISHAL GROUP","NEPAL","Approved","","","Completed","30/04/2022 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","NP","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10034","12392165","PT EMBEE PLUMBON TEKSTIL","Consumer Durables & Apparel","","","990240433","EMBEE PLUMBON TEKSTIL","INDONESIA","Approved","","","Completed","31/03/2022 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","ID","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10035","13803170","ABU DHABI POLYMERS CO. LTD (BOROUGE) L.L.C","Other Materials","","","990024456","UNITED ARAB EMIRATES GOVERNMENT","UNITED ARAB EMIRATES","Approved","","","Completed","30/11/2021 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","AE","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10036","11335110","LNAME11335110","Other Materials","","","990053889","GRP NAME 990053889","INDIA","Approved","","","Completed","28/02/2022 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","IN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10037","13613631","L NAME 13613631","Consumer Durables & Apparel","","","990289271","GRP NAME 990289271","BANGLADESH","Approved","","","Completed","31/03/2022 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","BD","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10038","11117079","MOHAMMED JALAL & SONS COMPANY LIMITED W .L .L","Trading Companies & Distributors","","","990019544","JALAL GROUP","BAHRAIN","Approved","","","Completed","30/06/2022 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","BH","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10039","11024090","OJP QJI JUQJILIPHJH OPUPQJS","Consumer Durables & Apparel","","","990003896","QOH DOZ","HONG KONG","Approved","","","Completed","30/11/2021 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10040","11287624","Denimach Limited","Consumer Durables & Apparel","","","990069941","ARMANA GROUP BANGLADESH","BANGLADESH","Approved","","","Completed","30/09/2021 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","BD","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10041","11908234","A K M KNIT WEAR LIMITED","Consumer Durables & Apparel","","","990330142","Al-Muslim Group","BANGLADESH","Approved","","","Completed","31/10/2021 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","BD","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10042","13549134","WALTON HI-TECH INDUSTRIES LIMITED","Other Capital Goods","","","990267550","R.B. GROUP OF COMPANIES LTD.","BANGLADESH","Approved","","","Completed","30/04/2022 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","BD","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10043","11193045","JUMBO ELECTRONICS CO. LTD. (L.L.C.)","Technology Hardware & Equipment","","","990044383","JUMBO ELECTRONICS COMPANY LTD","UNITED ARAB EMIRATES","Approved","","","Completed","31/10/2021 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","AE","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10044","11235916","LNAME11235916","Consumer Durables & Apparel","","","990021024","GRP NAME 990021024","SINGAPORE","Approved","","","Completed","30/09/2021 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","SG","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10045","11189192","VIJAY TANKS AND VESSELS PRIVATE LIMITED","Other Materials","","","990042263","VIJAY TANKS","INDIA","Approved","","","Completed","30/09/2021 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","IN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10046","11339285","LNAME11339285","Technology Hardware & Equipment","","","990065005","GRP NAME 990065005","INDIA","Approved","","","Completed","30/06/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","IN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10047","12075744","CORESYSTEM TECHNOLOGY LIMITED","Technology Hardware & Equipment","","","990131831","CORETEK","HONG KONG","Approved","","","Completed","15/02/2022 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10048","13443908","TARASIMA APPARELS LTD","Consumer Durables & Apparel","","","990237970","BITOPI GROUP","BANGLADESH","Approved","","","Completed","31/03/2022 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","BD","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10049","11187896","HA-Meem Denim Limited","Consumer Durables & Apparel","","","990055852","HA-MEEM GROUP","BANGLADESH","Approved","","","Completed","31/12/2021 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","BD","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10050","13730494","TWS TECHNOLOGY (GUANGZHOU) LIMITED","Technology Hardware & Equipment","","","990336175","TWS Group","HONG KONG","Approved","","","Completed","31/05/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10051","13741564","Onpress PCB Limited","Technology Hardware & Equipment","","","990039998","ONPRESS","HONG KONG","Approved","","","Completed","15/02/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10052","13660697","LNAME13660697","Consumer Durables & Apparel","","","990058106","GRP NAME 990058106","CHINA","Approved","","","Completed","31/01/2022 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","CN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10053","13742100","NATIONAL PEROXIDE LIMITED","Other Materials","","","990030016","THE WADIA GROUP","INDIA","Approved","","","Completed","30/09/2021 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","IN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10054","11211853","CRAFTSMAN AUTOMATION LIMITED","Other Capital Goods","","","990049117","CRAFTSMAN","INDIA","Approved","","","Completed","28/02/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","IN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10055","11150087","FUNG LIN WAH ENTERPRISE LIMITED","Consumer Durables & Apparel","","","990024268","FUNG LIN WAH","HONG KONG","Approved","","","Completed","15/03/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10056","11218258","ZHANGJIAGANG TALENT WEAVING DYEING & PRINTING LTD","Consumer Durables & Apparel","","","990033548","MING YUEN","HONG KONG","Approved","","","Completed","31/03/2022 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10057","11218275","AMMZEIYX MIZIIZM","Technology Hardware & Equipment","","","990060340","FNCUOSFZ","INDIA","Approved","","","Completed","30/04/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","IN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10058","11127283","LNAME11127283","Automobiles & Components","","","990012601","GRP NAME 990012601","KENYA","Approved","","","Completed","31/01/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","KE","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10059","11201109","AFRI VENTURES FZE","Trading Companies & Distributors","","","990046126","CHANRAI INVESTMENT CORPORATION LTD","SINGAPORE","Approved","","","Completed","30/06/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","SG","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10060","11019399","LEE HUNG FAT GARMENT FACTORY LIMITED","Consumer Durables & Apparel","","","990002522","LEE HUNG FAT","HONG KONG","Approved","","","Completed","15/06/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10061","12124565","SHANGHAI ZHONGXUAN ELECTRONIC TECH CO., LTD","Consumer Durables & Apparel","","","990316505","SHANGHAI ZHONGXUAN ELECTRONIC TECH CO.","CHINA","Approved","","","Completed","31/03/2022 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","CN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10062","13688149","National Fire Fighting Manufacturing FZCO","Other Capital Goods","","","990329322","NAFCO GROUP","UNITED ARAB EMIRATES","Approved","","","Completed","30/09/2021 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","AE","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10063","13706634","TPAC PACKAGING INDIA PRIVATE LIMITED","Other Materials","","","990249130","INDO WORTH GROUP","THAILAND","Approved","","","Completed","30/06/2022 08:00:00","03/07/2022 19:50:00","","","","","","Amber","","","","","","","","","","","New","","","","","","","TH","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10064","12573021","MONTERY ASIA LIMITED","Other Materials","","","990024593","MONTERY","HONG KONG","Approved","","","Completed","15/05/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10065","11333310","LUUNT ONLWUPTW LXWXTUK","Consumer Durables & Apparel","","","990055852","GR-GKKG LIDDO","BANGLADESH","Approved","","","Completed","31/12/2021 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","BD","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10066","13648770","ECHOTEX LIMITED","Consumer Durables & Apparel","","","990305311","ECHOTEX GROUP","BANGLADESH","Approved","","","Completed","30/04/2022 08:00:00","03/07/2022 19:50:00","","","","","","Green","","","","","","","","","","","New","","","","","","","BD","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10067","13457420","ISMAIL SPINNING MILLS LTD","Consumer Durables & Apparel","","","990034478","NOMAN GROUP","BANGLADESH","Approved","","","Completed","28/02/2022 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","BD","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10068","11172049","PHP NOF CONTINUOUS GALVANIZING MILLS LIMITED","Other Materials","","","990021401","PHP GROUP","BANGLADESH","Approved","","","Completed","30/11/2021 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","BD","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10069","11145895","L NAME 11145895","Other Capital Goods","","","990024033","GRP NAME 990024033","SRI LANKA","Approved","","","Completed","31/10/2021 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","LK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10070","11234961","ACG PHARMAPACK PRIVATE LIMITED","Other Materials","","","990048469","ACG WORLDWIDE","INDIA","Approved","","","Completed","30/10/2021 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","IN","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10071","13721678","TWS TECHNOLOGY LIMITED","Technology Hardware & Equipment","","","990336175","TWS Group","HONG KONG","Approved","","","Completed","15/04/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","HK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10072","11173439","SMART TECHNOLOGIES (BANGLADESH) LTD","Technology Hardware & Equipment","","","990047766","SMART TECHNOLOGIES","BANGLADESH","Approved","","","Completed","30/06/2022 08:00:00","03/07/2022 19:50:00","","","","","","Black","","","","","","","","","","","New","","","","","","","BD","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
"10073","11324291","SOORTY ENTERPRISES PRIVATE LIMITED","Consumer Durables & Apparel","","","990115791","SOORTY ENTERPRISES","PAKISTAN","Approved","","","Completed","31/05/2022 08:00:00","03/07/2022 19:50:00","","","","","","Red","","","","","","","","","","","New","","","","","","","PK","CRQ v1","Satya test","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0"
